stat_rec,n_hauls,mean_abs_residual,mean_residual,median_abs_residual,sd_abs_residual,mean_ln_B_obs,year_min,year_max,n_years_with_effort,total_hours,mean_annual_hours_total,mean_annual_hours_otter,mean_annual_hours_beam,log_mean_annual_hours_total,rect_lon,rect_lat
31F1,54,1.1756098970885578,-1.150872966790133,1.3387075561319257,0.5828308547899217,11.846969516087931,1992,2015,31,1788470,57692.5806451613,44032.03225806452,13660.548387096775,10.962901192323669,1.5,51.25
31F2,63,1.3793740605462073,-1.3793740605462073,1.4830750579281968,0.5380495821597452,12.554686575148716,1985,2015,31,1406712,45377.8064516129,11633.709677419356,33744.096774193546,10.722800456789468,2.5,51.25
32F1,76,0.9023098338200656,-0.8996599610356734,1.064838747179528,0.42669458704279345,10.974593451881779,1985,2015,31,1051047,33904.74193548387,19089.1935483871,14815.548387096775,10.431339657653444,1.5,51.75
32F2,64,1.2157179124963522,-1.1974267430657533,1.2980610832232529,0.520986504018962,11.975366743635744,1985,2015,31,866516,27952.129032258064,6202.774193548387,21749.354838709674,10.23828442338188,2.5,51.75
32F3,48,0.9734003312634266,-0.9734003312634266,0.8885683539548435,0.494142761434997,10.609927104823788,1985,2015,31,912068,29421.548387096773,1248.8709677419354,28172.67741935484,10.289516611311491,3.5,51.75
33F1,62,0.7761099459055291,-0.7322108178322124,0.8698810645018522,0.46225267575039475,10.18876184924228,1985,2015,31,249897,8061.193548387096,3830.645161290323,4230.548387096775,8.994940950879272,1.5,52.25
33F2,72,0.9619211320372743,-0.9368094849027333,1.0247916717540893,0.45093789427283876,10.308352704437175,1985,2015,31,792380,25560.645161290322,2794.5161290322585,22766.129032258064,10.148848271102874,2.5,52.25
33F3,82,1.1527945944914881,-1.119495582518341,1.27979057346728,0.5368386169719109,11.119368854221849,1985,2015,31,1125761,36314.87096774193,1825.806451612903,34489.06451612903,10.500010141443754,3.5,52.25
33F4,78,1.141321805482669,-1.126926801172486,1.161649358347316,0.44785690933101074,10.917189036690397,1985,2015,31,678313,21881.064516129034,4972.4838709677415,16908.58064516129,9.993422608397667,4.5,52.25
34F1,48,0.7549373656330052,-0.6744909462168495,0.828714783551912,0.42566021150129657,9.450886002006419,1985,2015,31,59314,1913.354838709677,1014.096774193548,899.2580645161291,7.5571359460054595,1.5,52.75
34F2,63,0.9481174705556207,-0.8913063948675717,1.0555334423292226,0.48668994030231616,10.311723860688314,1985,2015,31,773911,24964.870967741936,2543.645161290323,22421.225806451614,10.125265009878404,2.5,52.75
34F3,84,1.1989304811297463,-1.198397543450777,1.3531918856885161,0.5329860353271199,11.642797985155996,1985,2015,31,660034,21291.41935483871,1849.4838709677417,19441.935483870966,9.966106389516632,3.5,52.75
34F4,89,1.1515404475777613,-1.1494935741205414,1.25677813916551,0.4925787577268291,11.221836720573405,1985,2015,31,812417,26207,4332.193548387097,21874.8064516129,10.173819986652797,4.5,52.75
35F0,47,0.9496248775968344,-0.9244046106886554,1.1099621418298096,0.44358760591383156,10.538829468660309,1985,2015,31,289107,9326.032258064517,1897,7429.032258064516,9.140672157288966,0.5,53.25
35F1,57,1.0240746861321095,-0.996727034081711,1.1487510964871408,0.48090170226187967,10.331093635078677,1985,2015,31,129537,4178.612903225807,1741.5483870967741,2437.064516129032,8.337973914346742,1.5,53.25
